歌单,歌曲,壁纸引擎ID,壁纸名称,所属作品
『A 觉醒、贯行』渐进学习时长激励歌单,Bill Conti - Gonna Fly Now + Going the Distance + Fanfare for Rocky.mp3,2995611032,David Goggins carrying a log,洛奇
『A 觉醒、贯行』渐进学习时长激励歌单,喵☆酱 - 风与飞鸟.mp3,2818392409,温迪+风与飞鸟bgm,原神
『A 觉醒、贯行』渐进学习时长激励歌单,澤野弘之 - ERENthe標.mp3,2979778343,进击的巨人,进击的巨人
『A 觉醒、贯行』渐进学习时长激励歌单,Hans Zimmer - Stay.mp3,2303814599,【4K】星际穿越,星际穿越
『A 觉醒、贯行』渐进学习时长激励歌单,景山将太 - リュウラセンの塔 + 10番道路 + ENDING~それぞれの未来へ~ + sayonara refrain .mp3,3381312570,"N，雷希拉姆和水天一色的世界（N, Reshiram）",宝可梦黑白
『A 觉醒、贯行』渐进学习时长激励歌单,平松建治 - 目覚め + 交わる剣.mp3,1617340411,Xenoblade Chronicles 2 Siren & Mythra,异度神剑2
『A 觉醒、贯行』渐进学习时长激励歌单,"光田康典,平松建治,Mariam Abounnasr - 成人の儀 + 空へと昇った想い + 届かぬ言葉.mp3",2958791239,异度神剑3mio off-seer,异度神剑3
『A 觉醒、贯行』渐进学习时长激励歌单,岩田恭明 - 厄災ガノン戦・第二形態 + 片岡真央 - 魔獣ガノン戦.mp3,1357071186,Zelda,塞尔达传说旷野之息
『AA 英雄之旅、怒斥』渐进学习时长激励歌单,"工藤ともり,山中裕代,亀岡夏海 - The Great Sea Stirs.mp3",3026508671,Xenoblade Chronicles 3 - Chain Attack,异度神剑3
『AA 英雄之旅、怒斥』渐进学习时长激励歌单,Hans Zimmer - Day One (Interstellar Theme) + Cornfield Chase.mp3,1719301722,星际穿越,星际穿越
『AA 英雄之旅、怒斥』渐进学习时长激励歌单,金﨑猛 - 神よ、その黄昏よ.mp3,3381468578,【火焰纹章·回声超长8分钟剪辑】（Fire Emblem: Echoes - Extended 8-Minute Edit）神よ、その黄昏よ,火焰纹章回声另一个英雄王
『AA 英雄之旅、怒斥』渐进学习时长激励歌单,"MoppySound,てろ,神庭Neon - 凪 + 悠遠の彼方へ + 追憶の海.mp3",3209918050,神之天平anulis,神之天平
『AA 英雄之旅、怒斥』渐进学习时长激励歌单,"光田康典,清田愛未,Mariam Abounnasr - The Weight of Life.mp3",3026508671,Xenoblade Chronicles 3 - Chain Attack,异度神剑3
『AA 英雄之旅、怒斥』渐进学习时长激励歌单,"片岡真央,山下康介 - メインテーマ + Nintendo Switch Presentation 2017 Trailer BGM.mp3",2408804875,Zelda Hyrule Field,塞尔达传说旷野之息
『AAA 全力以赴、神迹』渐进学习时长激励歌单,Hans Zimmer - Tick-Tock.mp3,2863174578,星际穿越  Interstellar,星际穿越
『AAA 全力以赴、神迹』渐进学习时长激励歌单,"光田康典,Mariam Abounnasr - 決別 + 君との未来 + White All Around Us.mp3",2223063954,Pneuma - Xenoblade Chronicles 2,异度神剑2
